,,,Common Name,Molecular Formula,Molecular Weight (average),Monoisotopic Mass,CAS # (without dashes),Classification 1,Classification 2,"M7412AA = CF, 40-min Method RT","RI (M7412AA = CF, 40-min)","M7411AA = CP, 40-min Method RT","RI (M7411AA = CF, 40-min)","M7412AA = CF, 20-min Method RT","RI (M7412AA = CF, 20-min)","M7414AA = CF, 5x15 Method RT",User Field,Formal CAS #,Common Name,Method RT,ISTD,Precursor Ion,MS1 Resolution,Product Ion,MS2 Resolution,Dwell Time (ms),CE (V),Left RT Delta,Right RT Delta,RT Window,Response Scaled within the Database,Relative Intensity of Transitions,Quant (Q0) and Qual,Target Compounds,Chinese Name,China GB Method Group,Japanese Name,,Synonym(s),,,,,
3-2,3,2,1-Naphthylacetic acid,C12H10O2,186.2,186.0681,86873,Plant growth regulator,Botanical,16.166,,14.002,,8.286,,7.473,,86-87-3,1-Naphthylacetic acid,8.286,false,115.0,Wide,39.0,Wide,10,35,0.1,0.1,0.1,505,10%,Q3,#N/A,,,,Q3,,,,,,
4-2,4,2,1-Naphthylacetic acid,C12H10O2,186.2,186.0681,86873,Plant growth regulator,Botanical,16.166,,14.002,,8.286,,7.473,,86-87-3,1-Naphthylacetic acid,8.286,false,115.0,Wide,65.0,Wide,10,25,0.1,0.1,0.1,375,8%,Q4,#N/A,,,,Q4,,,,,,
5-2,5,2,1-Naphthylacetic acid,C12H10O2,186.2,186.0681,86873,Plant growth regulator,Botanical,16.166,,14.002,,8.286,,7.473,,86-87-3,1-Naphthylacetic acid,8.286,false,141.0,Wide,91.0,Wide,10,35,0.1,0.1,0.1,346,7%,Q5,#N/A,,,,Q5,,,,,,
6-2,6,2,1-Naphthylacetic acid,C12H10O2,186.2,186.0681,86873,Plant growth regulator,Botanical,16.166,,14.002,,8.286,,7.473,,86-87-3,1-Naphthylacetic acid,8.286,false,115.0,Wide,89.0,Wide,10,40,0.1,0.1,0.1,104,2%,Q6,#N/A,,,,Q0,,,,,,
7-2,7,2,1-Naphthylacetic acid,C12H10O2,186.2,186.0681,86873,Plant growth regulator,Botanical,16.166,,14.002,,8.286,,7.473,,86-87-3,1-Naphthylacetic acid,8.286,false,89.0,Wide,39.0,Wide,10,35,0.1,0.1,0.1,94,2%,Q7,#N/A,,,,Q1,,,,,,
0-3,0,3,"2,2' 5',2""-Terthiophene",C12H8S3,248.4,247.9788,1081341,Pesticide,n/a,23.845,,24.706,,11.908,,11.717,,1081-34-1,"2,2' 5',2""-Terthiophene",11.908,false,248.0,Wide,203.0,Wide,10,25,0.1,0.1,0.1,739,100%,Q0,#N/A,,,,Q2,Terthiophene,,,,,
1-3,1,3,"2,2' 5',2""-Terthiophene",C12H8S3,248.4,247.9788,1081341,Pesticide,n/a,23.845,,24.706,,11.908,,11.717,,1081-34-1,"2,2' 5',2""-Terthiophene",11.908,false,248.0,Wide,171.0,Wide,10,35,0.1,0.1,0.1,628,85%,Q1,#N/A,,,,Q3,Terthiophene,,,,,
2-3,2,3,"2,2' 5',2""-Terthiophene",C12H8S3,248.4,247.9788,1081341,Pesticide,n/a,23.845,,24.706,,11.908,,11.717,,1081-34-1,"2,2' 5',2""-Terthiophene",11.908,false,248.0,Wide,126.9,Wide,10,40,0.1,0.1,0.1,470,64%,Q2,#N/A,,,,Q4,Terthiophene,,,,,
3-3,3,3,"2,2' 5',2""-Terthiophene",C12H8S3,248.4,247.9788,1081341,Pesticide,n/a,23.845,,24.706,,11.908,,11.717,,1081-34-1,"2,2' 5',2""-Terthiophene",11.908,false,248.0,Wide,216.0,Wide,10,20,0.1,0.1,0.1,422,57%,Q3,#N/A,,,,Q5,Terthiophene,,,,,
4-3,4,3,"2,2' 5',2""-Terthiophene",C12H8S3,248.4,247.9788,1081341,Pesticide,n/a,23.845,,24.706,,11.908,,11.717,,1081-34-1,"2,2' 5',2""-Terthiophene",11.908,false,171.0,Wide,127.0,Wide,10,25,0.1,0.1,0.1,225,30%,Q4,#N/A,,,,Q6,Terthiophene,,,,,
5-3,5,3,"2,2' 5',2""-Terthiophene",C12H8S3,248.4,247.9788,1081341,Pesticide,n/a,23.845,,24.706,,11.908,,11.717,,1081-34-1,"2,2' 5',2""-Terthiophene",11.908,false,203.0,Wide,171.0,Wide,10,20,0.1,0.1,0.1,221,30%,Q5,#N/A,,,,,Terthiophene,,,,,
6-3,6,3,"2,2' 5',2""-Terthiophene",C12H8S3,248.4,247.9788,1081341,Pesticide,n/a,23.845,,24.706,,11.908,,11.717,,1081-34-1,"2,2' 5',2""-Terthiophene",11.908,false,203.0,Wide,115.0,Wide,10,35,0.1,0.1,0.1,171,23%,Q6,#N/A,,,,,Terthiophene,,,,,
7-3,7,3,"2,2' 5',2""-Terthiophene",C12H8S3,248.4,247.9788,1081341,Pesticide,n/a,23.845,,24.706,,11.908,,11.717,,1081-34-1,"2,2' 5',2""-Terthiophene",11.908,false,126.9,Wide,68.9,Wide,10,35,0.1,0.1,0.1,170,23%,Q7,#N/A,,,,,Terthiophene,,,,,
8-3,8,3,"2,2' 5',2""-Terthiophene",C12H8S3,248.4,247.9788,1081341,Pesticide,n/a,23.845,,24.706,,11.908,,11.717,,1081-34-1,"2,2' 5',2""-Terthiophene",11.908,false,95.0,Wide,68.9,Wide,10,20,0.1,0.1,0.1,48,6%,Q8,#N/A,,,,,Terthiophene,,,,,
9-3,9,3,"2,2' 5',2""-Terthiophene",C12H8S3,248.4,247.9788,1081341,Pesticide,n/a,23.845,,24.706,,11.908,,11.717,,1081-34-1,"2,2' 5',2""-Terthiophene",11.908,false,68.9,Wide,44.0,Wide,10,40,0.1,0.1,0.1,33,4%,Q9,#N/A,,,,,Terthiophene,,,,,
0-4,0,4,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",C12HCl9,464.2,459.7275,40186729,Pollutant,PCB,33.234,2824,32.721,2827,16.549,2858,15.954,,40186-72-9,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",16.549,false,461.8,Wide,391.7,Wide,10,30,0.1,0.1,0.1,590,100%,Q0,#N/A,,,,,,,,,,
1-4,1,4,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",C12HCl9,464.2,459.7275,40186729,Pollutant,PCB,33.234,2824,32.721,2827,16.549,2858,15.954,,40186-72-9,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",16.549,false,463.8,Wide,393.7,Wide,10,30,0.1,0.1,0.1,570,97%,Q1,#N/A,,,,,,,,,,
2-4,2,4,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",C12HCl9,464.2,459.7275,40186729,Pollutant,PCB,33.234,2824,32.721,2827,16.549,2858,15.954,,40186-72-9,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",16.549,false,463.8,Wide,428.7,Wide,10,15,0.1,0.1,0.1,570,97%,Q2,#N/A,,,,,,,,,,
3-4,3,4,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",C12HCl9,464.2,459.7275,40186729,Pollutant,PCB,33.234,2824,32.721,2827,16.549,2858,15.954,,40186-72-9,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",16.549,false,463.8,Wide,391.7,Wide,10,30,0.1,0.1,0.1,370,63%,Q3,#N/A,,,,,,,,,,
4-4,4,4,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",C12HCl9,464.2,459.7275,40186729,Pollutant,PCB,33.234,2824,32.721,2827,16.549,2858,15.954,,40186-72-9,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",16.549,false,465.8,Wide,430.7,Wide,10,15,0.1,0.1,0.1,360,61%,Q4,#N/A,,,,,,,,,,
5-4,5,4,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",C12HCl9,464.2,459.7275,40186729,Pollutant,PCB,33.234,2824,32.721,2827,16.549,2858,15.954,,40186-72-9,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",16.549,false,465.8,Wide,393.7,Wide,10,30,0.1,0.1,0.1,350,59%,Q5,#N/A,,,,,,,,,,
6-4,6,4,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",C12HCl9,464.2,459.7275,40186729,Pollutant,PCB,33.234,2824,32.721,2827,16.549,2858,15.954,,40186-72-9,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",16.549,false,391.8,Wide,321.7,Wide,10,40,0.1,0.1,0.1,330,56%,Q6,#N/A,,,,,,,,,,
7-4,7,4,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",C12HCl9,464.2,459.7275,40186729,Pollutant,PCB,33.234,2824,32.721,2827,16.549,2858,15.954,,40186-72-9,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",16.549,false,465.8,Wide,395.7,Wide,10,30,0.1,0.1,0.1,300,51%,Q7,#N/A,,,,,,,,,,
8-4,8,4,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",C12HCl9,464.2,459.7275,40186729,Pollutant,PCB,33.234,2824,32.721,2827,16.549,2858,15.954,,40186-72-9,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",16.549,false,321.7,Wide,251.7,Wide,10,35,0.1,0.1,0.1,230,39%,Q8,#N/A,,,,,,,,,,
9-4,9,4,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",C12HCl9,464.2,459.7275,40186729,Pollutant,PCB,33.234,2824,32.721,2827,16.549,2858,15.954,,40186-72-9,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (BZ #206)",16.549,false,321.7,Wide,286.7,Wide,10,20,0.1,0.1,0.1,180,31%,Q9,#N/A,,,,,,,,,,
0-5,0,5,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",C12H2Cl8,429.8,425.7665,35694087,Pollutant,PCB,31.986,2735,31.736,2736,15.906,2766,15.425,,35694-08-7,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",15.906,false,427.8,Wide,357.8,Wide,10,30,0.1,0.1,0.1,840,100%,Q0,#N/A,,,,,,,,,,
1-5,1,5,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",C12H2Cl8,429.8,425.7665,35694087,Pollutant,PCB,31.986,2735,31.736,2736,15.906,2766,15.425,,35694-08-7,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",15.906,false,427.8,Wide,392.8,Wide,10,15,0.1,0.1,0.1,750,89%,Q1,#N/A,,,,,,,,,,
2-5,2,5,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",C12H2Cl8,429.8,425.7665,35694087,Pollutant,PCB,31.986,2735,31.736,2736,15.906,2766,15.425,,35694-08-7,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",15.906,false,429.8,Wide,394.8,Wide,10,15,0.1,0.1,0.1,720,86%,Q2,#N/A,,,,,,,,,,
3-5,3,5,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",C12H2Cl8,429.8,425.7665,35694087,Pollutant,PCB,31.986,2735,31.736,2736,15.906,2766,15.425,,35694-08-7,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",15.906,false,429.8,Wide,359.8,Wide,10,30,0.1,0.1,0.1,670,80%,Q3,#N/A,,,,,,,,,,
4-5,4,5,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",C12H2Cl8,429.8,425.7665,35694087,Pollutant,PCB,31.986,2735,31.736,2736,15.906,2766,15.425,,35694-08-7,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",15.906,false,392.7,Wide,357.8,Wide,10,15,0.1,0.1,0.1,540,64%,Q4,#N/A,,,,,,,,,,
5-5,5,5,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",C12H2Cl8,429.8,425.7665,35694087,Pollutant,PCB,31.986,2735,31.736,2736,15.906,2766,15.425,,35694-08-7,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",15.906,false,429.8,Wide,357.8,Wide,10,30,0.1,0.1,0.1,530,63%,Q5,#N/A,,,,,,,,,,
6-5,6,5,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",C12H2Cl8,429.8,425.7665,35694087,Pollutant,PCB,31.986,2735,31.736,2736,15.906,2766,15.425,,35694-08-7,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",15.906,false,357.8,Wide,287.8,Wide,10,40,0.1,0.1,0.1,490,58%,Q6,#N/A,,,,,,,,,,
7-5,7,5,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",C12H2Cl8,429.8,425.7665,35694087,Pollutant,PCB,31.986,2735,31.736,2736,15.906,2766,15.425,,35694-08-7,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",15.906,false,359.8,Wide,287.8,Wide,10,40,0.1,0.1,0.1,310,37%,Q7,#N/A,,,,,,,,,,
8-5,8,5,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",C12H2Cl8,429.8,425.7665,35694087,Pollutant,PCB,31.986,2735,31.736,2736,15.906,2766,15.425,,35694-08-7,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",15.906,false,287.8,Wide,252.8,Wide,10,20,0.1,0.1,0.1,260,31%,Q8,#N/A,,,,,,,,,,
9-5,9,5,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",C12H2Cl8,429.8,425.7665,35694087,Pollutant,PCB,31.986,2735,31.736,2736,15.906,2766,15.425,,35694-08-7,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (BZ #194)",15.906,false,357.8,Wide,322.8,Wide,10,25,0.1,0.1,0.1,230,27%,Q9,#N/A,,,,,,,,,,
0-6,0,6,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",C12HCl9,464.2,459.7275,52663793,Pollutant,PCB,31.538,2703,31.399,2704,15.694,2736,15.267,,52663-79-3,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",15.694,false,461.8,Wide,391.7,Wide,10,30,0.1,0.1,0.1,1040,100%,Q0,#N/A,,,,,,,,,,
1-6,1,6,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",C12HCl9,464.2,459.7275,52663793,Pollutant,PCB,31.538,2703,31.399,2704,15.694,2736,15.267,,52663-79-3,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",15.694,false,463.8,Wide,393.7,Wide,10,30,0.1,0.1,0.1,990,95%,Q1,#N/A,,,,,,,,,,
2-6,2,6,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",C12HCl9,464.2,459.7275,52663793,Pollutant,PCB,31.538,2703,31.399,2704,15.694,2736,15.267,,52663-79-3,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",15.694,false,463.8,Wide,391.7,Wide,10,30,0.1,0.1,0.1,650,63%,Q2,#N/A,,,,,,,,,,
3-6,3,6,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",C12HCl9,464.2,459.7275,52663793,Pollutant,PCB,31.538,2703,31.399,2704,15.694,2736,15.267,,52663-79-3,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",15.694,false,465.8,Wide,393.7,Wide,10,30,0.1,0.1,0.1,620,60%,Q3,#N/A,,,,,,,,,,
4-6,4,6,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",C12HCl9,464.2,459.7275,52663793,Pollutant,PCB,31.538,2703,31.399,2704,15.694,2736,15.267,,52663-79-3,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",15.694,false,465.8,Wide,395.7,Wide,10,30,0.1,0.1,0.1,530,51%,Q4,#N/A,,,,,,,,,,
5-6,5,6,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",C12HCl9,464.2,459.7275,52663793,Pollutant,PCB,31.538,2703,31.399,2704,15.694,2736,15.267,,52663-79-3,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",15.694,false,391.8,Wide,321.7,Wide,10,40,0.1,0.1,0.1,380,37%,Q5,#N/A,,,,,,,,,,
6-6,6,6,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",C12HCl9,464.2,459.7275,52663793,Pollutant,PCB,31.538,2703,31.399,2704,15.694,2736,15.267,,52663-79-3,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",15.694,false,321.7,Wide,251.7,Wide,10,35,0.1,0.1,0.1,280,27%,Q6,#N/A,,,,,,,,,,
7-6,7,6,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",C12HCl9,464.2,459.7275,52663793,Pollutant,PCB,31.538,2703,31.399,2704,15.694,2736,15.267,,52663-79-3,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",15.694,false,321.7,Wide,286.7,Wide,10,20,0.1,0.1,0.1,220,21%,Q7,#N/A,,,,,,,,,,
8-6,8,6,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",C12HCl9,464.2,459.7275,52663793,Pollutant,PCB,31.538,2703,31.399,2704,15.694,2736,15.267,,52663-79-3,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",15.694,false,463.8,Wide,428.7,Wide,10,15,0.1,0.1,0.1,180,17%,Q8,#N/A,,,,,,,,,,
9-6,9,6,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",C12HCl9,464.2,459.7275,52663793,Pollutant,PCB,31.538,2703,31.399,2704,15.694,2736,15.267,,52663-79-3,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl (BZ #207)",15.694,false,393.8,Wide,358.7,Wide,10,20,0.1,0.1,0.1,160,15%,Q9,#N/A,,,,,,,,,,
0-7,0,7,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",C12H2Cl8,429.8,425.7665,52663782,Pollutant,PCB,31.314,2688,31.227,2688,15.588,2721,15.190,,52663-78-2,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",15.588,false,427.8,Wide,392.8,Wide,10,15,0.1,0.1,0.1,860,100%,Q0,#N/A,,,,,,,,,,
1-7,1,7,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",C12H2Cl8,429.8,425.7665,52663782,Pollutant,PCB,31.314,2688,31.227,2688,15.588,2721,15.190,,52663-78-2,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",15.588,false,429.8,Wide,394.8,Wide,10,15,0.1,0.1,0.1,820,95%,Q1,#N/A,,,,,,,,,,
2-7,2,7,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",C12H2Cl8,429.8,425.7665,52663782,Pollutant,PCB,31.314,2688,31.227,2688,15.588,2721,15.190,,52663-78-2,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",15.588,false,427.8,Wide,357.8,Wide,10,30,0.1,0.1,0.1,800,93%,Q2,#N/A,,,,,,,,,,
3-7,3,7,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",C12H2Cl8,429.8,425.7665,52663782,Pollutant,PCB,31.314,2688,31.227,2688,15.588,2721,15.190,,52663-78-2,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",15.588,false,392.7,Wide,357.8,Wide,10,15,0.1,0.1,0.1,680,79%,Q3,#N/A,,,,,,,,,,
4-7,4,7,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",C12H2Cl8,429.8,425.7665,52663782,Pollutant,PCB,31.314,2688,31.227,2688,15.588,2721,15.190,,52663-78-2,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",15.588,false,429.8,Wide,359.8,Wide,10,30,0.1,0.1,0.1,640,74%,Q4,#N/A,,,,,,,,,,
5-7,5,7,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",C12H2Cl8,429.8,425.7665,52663782,Pollutant,PCB,31.314,2688,31.227,2688,15.588,2721,15.190,,52663-78-2,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",15.588,false,429.8,Wide,357.8,Wide,10,30,0.1,0.1,0.1,500,58%,Q5,#N/A,,,,,,,,,,
6-7,6,7,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",C12H2Cl8,429.8,425.7665,52663782,Pollutant,PCB,31.314,2688,31.227,2688,15.588,2721,15.190,,52663-78-2,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",15.588,false,357.8,Wide,287.8,Wide,10,40,0.1,0.1,0.1,490,57%,Q6,#N/A,,,,,,,,,,
7-7,7,7,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",C12H2Cl8,429.8,425.7665,52663782,Pollutant,PCB,31.314,2688,31.227,2688,15.588,2721,15.190,,52663-78-2,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",15.588,false,359.8,Wide,287.8,Wide,10,40,0.1,0.1,0.1,310,36%,Q7,#N/A,,,,,,,,,,
8-7,8,7,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",C12H2Cl8,429.8,425.7665,52663782,Pollutant,PCB,31.314,2688,31.227,2688,15.588,2721,15.190,,52663-78-2,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",15.588,false,287.8,Wide,252.8,Wide,10,20,0.1,0.1,0.1,280,33%,Q8,#N/A,,,,,,,,,,
9-7,9,7,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",C12H2Cl8,429.8,425.7665,52663782,Pollutant,PCB,31.314,2688,31.227,2688,15.588,2721,15.190,,52663-78-2,"2,2',3,3',4,4',5,6-Octachlorobiphenyl (BZ #195)",15.588,false,357.8,Wide,322.8,Wide,10,25,0.1,0.1,0.1,240,28%,Q9,#N/A,,,,,,,,,,
0-8,0,8,"2,2',3,3',4,4',5,6'-Octachlorobiphenyl (BZ #196)",C12H2Cl8,429.8,425.7665,42740501,Pollutant,PCB,30.311,2619,30.449,2616,15.063,2649,14.831,,42740-50-1,"2,2',3,3',4,4',5,6'-Octachlorobiphenyl (BZ #196)",15.063,false,427.8,Wide,357.8,Wide,10,30,0.1,0.1,0.1,860,100%,Q0,#N/A,,,,,,,,,,
1-8,1,8,"2,2',3,3',4,4',5,6'-Octachlorobiphenyl (BZ #196)",C12H2Cl8,429.8,425.7665,42740501,Pollutant,PCB,30.311,2619,30.449,2616,15.063,2649,14.831,,42740-50-1,"2,2',3,3',4,4',5,6'-Octachlorobiphenyl (BZ #196)",15.063,false,427.8,Wide,392.8,Wide,10,15,0.1,0.1,0.1,750,87%,Q1,#N/A,,,,,,,,,,
2-8,2,8,"2,2',3,3',4,4',5,6'-Octachlorobiphenyl (BZ #196)",C12H2Cl8,429.8,425.7665,42740501,Pollutant,PCB,30.311,2619,30.449,2616,15.063,2649,14.831,,42740-50-1,"2,2',3,3',4,4',5,6'-Octachlorobiphenyl (BZ #196)",15.063,false,429.8,Wide,394.8,Wide,10,15,0.1,0.1,0.1,720,84%,Q2,#N/A,,,,,,,,,,
